# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00213  27.958699   1.227440   0.080362  23262.696  24903.759     27    9    544.247    -49.225    104.231   0.751552  -0.062248   0.131807   1.303603  -0.323918   0.685876   1.056202  -0.087481   0.185236   1.447334  -0.359633   0.761498   0.080137   0.001940  1.056    9      8.580
00227  14.001137   0.687319   0.043132  12603.575  13818.334     71   48    603.250   -264.613    119.002   0.826705  -0.332080   0.149343   1.674292  -2.017645   0.907378   0.686466  -0.275747   0.124009   1.570047  -1.892022   0.850883   0.043591   0.001137  0.686    4      8.452
00237 337.310972   0.151123   0.057187  16412.138  17729.726     80   50    455.974    -51.117     66.619   0.664237  -0.068190   0.088870   0.880103  -0.271053   0.353255   0.852758  -0.087544   0.114093   0.949266  -0.292354   0.381016   0.057620   0.001481  0.853   14      8.385
00239  11.846792   0.389633   0.132250  39107.926  40096.042     37    7    469.182    -13.275     78.456   0.597750  -0.015488   0.091534   0.690655  -0.053686   0.317281   0.803440  -0.020818   0.123031   0.753483  -0.058570   0.346144   0.132494   0.001702  0.803    4      8.369
00248 343.990400  -0.631163   0.111429  32987.963  33702.069     33    5    227.116    -13.648     35.380   0.314666  -0.017316   0.044889   0.098659  -0.016288   0.042223   0.383077  -0.021081   0.054648   0.103750  -0.017128   0.044401   0.111679   0.000696  0.383    4      8.315
00278  10.985793   1.014274   0.109253  31831.663  33649.605     51   20    623.250    -30.902     66.278   0.856090  -0.038870   0.083369   1.982446  -0.270034   0.579171   1.181808  -0.053659   0.115088   2.197077  -0.299269   0.641876   0.108943   0.002344  1.182   15      8.030
00283  27.558630   0.994545   0.141086  42088.463  42581.022     19    5    154.361    -29.898     35.706   0.213748  -0.037913   0.045278   0.031866  -0.016956   0.020250   0.344121  -0.061037   0.072894   0.035378  -0.018825   0.022482   0.141086   0.000653  0.344    4      8.008
00287  10.100836   0.859704   0.125758  37303.475  38096.726     23    5    348.336    -24.864     55.576   0.468771  -0.030641   0.068490   0.330924  -0.064893   0.145050   0.656146  -0.042889   0.095867   0.362999  -0.071183   0.159109   0.125758   0.001263  0.656    5      7.996
00288  26.627203  -0.662096   0.082053  23587.970  25527.927     63   30    530.312    -51.511     75.467   0.756394  -0.067281   0.098571   1.331153  -0.355215   0.520417   1.004673  -0.089365   0.130926   1.454023  -0.388003   0.568453   0.083043   0.001678  1.005   19      7.993
00291  28.286631   1.050716   0.059503  16862.726  18733.731     53   32    420.748    -48.814     92.819   0.629352  -0.066864   0.127141   0.750248  -0.239126   0.454694   0.701213  -0.074499   0.141659   0.775577  -0.247199   0.470044   0.059440   0.001082  0.701   18      7.986
00293 333.362095  -0.140570   0.090025  26148.498  27308.695     66   28    277.646   -111.848     91.444   0.404992  -0.149403   0.122149   0.205926  -0.227902   0.186327   0.622086  -0.229491   0.187626   0.230225  -0.254793   0.208313   0.090046   0.001040  0.622   10      7.985
00294  33.463183   0.463673   0.184263  54559.229  55877.717     26    6    490.747    -35.781     84.737   0.631846  -0.042188   0.099909   0.860834  -0.172431   0.408350   0.886850  -0.059214   0.140231   0.952130  -0.190718   0.451658   0.183818   0.001918  0.887    6      7.980
00304  37.000231   1.081257   0.128639  37960.620  38874.688     31   10    230.977    -63.945     64.346   0.337844  -0.085651   0.086188   0.124240  -0.094492   0.095085   0.456105  -0.115632   0.116357   0.134137  -0.102019   0.102659   0.128639   0.000708  0.456    9      7.961
00314 356.223167   1.130585   0.059667  17505.481  18631.502     29   12    328.950    -47.023     77.305   0.484352  -0.063405   0.104235   0.342040  -0.134326   0.220826   0.689135  -0.090212   0.148306   0.376871  -0.148005   0.243314   0.059818   0.001194  0.689   11      7.894
00317   7.969680   0.311453   0.081503  24298.479  24971.513     56    7    253.025   -149.008     53.375   0.361196  -0.194790   0.069774   0.144871  -0.234383   0.083957   0.458216  -0.247112   0.088516   0.154184  -0.249451   0.089354   0.081503   0.000633  0.458    5      7.886
00336  31.817452  -1.007589   0.117413  34633.524  35655.516     40   12    262.359    -36.495     68.001   0.373316  -0.047555   0.088609   0.165738  -0.063337   0.118016   0.547007  -0.069680   0.129835   0.182869  -0.069884   0.130215   0.117150   0.000997  0.547    7      7.751
00338 340.643308   1.098363   0.057574  17165.816  17397.556     51   13    113.679    -14.827     27.270   0.169227  -0.020212   0.037175   0.014559  -0.005217   0.009595   0.259844  -0.031035   0.057081   0.015911  -0.005701   0.010485   0.057666   0.000416  0.260    4      7.740
00350 340.823586   0.371493   0.058548  16811.761  18274.449     90   49    427.936    -39.371     67.891   0.646104  -0.054435   0.093867   0.811026  -0.204989   0.353482   0.650844  -0.054834   0.094556   0.812896  -0.205462   0.354297   0.058307   0.001053  0.651   18      7.654
00353   6.645935   1.210673   0.149675  44517.981  45500.101     27    8    294.779    -47.254     72.978   0.413360  -0.060681   0.093713   0.232503  -0.102393   0.158132   0.578026  -0.084853   0.131044   0.254298  -0.111992   0.172956   0.149675   0.001101  0.578    8      7.638
00369 345.514290   0.226886   0.109168  32263.664  32940.895     27   10    184.124    -85.382     49.416   0.269312  -0.114364   0.066189   0.061712  -0.078619   0.045501   0.448048  -0.190265   0.110118   0.069414  -0.088430   0.051180   0.109222   0.000754  0.448    7      7.552
00373  54.948106  -0.297654   0.127398  37199.148  39336.668     53   10    665.796    -61.418    127.617   0.886060  -0.074851   0.155527   2.238485  -0.567295   1.178743   1.247361  -0.105372   0.218945   2.498051  -0.633076   1.315425   0.127641   0.002544  1.247   10      7.542
00386  21.458335   0.536888   0.078027  22914.637  23679.107     66   26    136.280    -14.331     33.939   0.205314  -0.019772   0.046824   0.026518  -0.007661   0.018143   0.427469  -0.041166   0.097489   0.030839  -0.008910   0.021100   0.078345   0.000698  0.427    7      7.513
00409   4.167370  -0.453394   0.065502  17477.601  20726.152    143   75    629.726    -82.848    109.120   0.936926  -0.112879   0.148674   2.489652  -0.899845   1.185197   0.829820  -0.099975   0.131678   2.385515  -0.862206   1.135623   0.064933   0.001015  0.830   25      7.392
00421  23.728664  -0.662548   0.081793  23023.161  25798.940    111   35    526.732    -44.566     76.781   0.752692  -0.058319   0.100475   1.311370  -0.304817   0.525155   1.046731  -0.081101   0.139725   1.451606  -0.337413   0.581314   0.081589   0.001896  1.047   26      7.350
00436 335.726849   0.539672   0.163804  48261.189  49825.207     32    7    479.650    -61.422    108.848   0.632994  -0.074230   0.131545   0.847201  -0.298049   0.528180   0.888419  -0.104183   0.184626   0.936917  -0.329611   0.584113   0.163804   0.001907  0.888    7      7.285
00437  31.675792   1.217121   0.093275  27715.513  28285.418     15    5    235.605    -64.947     48.451   0.328317  -0.082879   0.061829   0.110064  -0.083352   0.062181   0.399665  -0.100890   0.075265   0.115794  -0.087692   0.065419   0.093241   0.000410  0.400    4      7.283
00446 339.577977  -0.991947   0.128799  37840.404  38713.699     30    7    220.838   -140.228     38.267   0.304413  -0.177011   0.048305   0.090902  -0.158573   0.043274   0.365315  -0.212425   0.057969   0.095224  -0.166114   0.045331   0.128799   0.000280  0.365    4      7.229
00467 324.924452   0.479446   0.136241  40503.160  41192.383     25    7    230.204    -38.983     77.018   0.324289  -0.050289   0.099354   0.110729  -0.051513   0.101774   0.384296  -0.059594   0.117739   0.115719  -0.053835   0.106361   0.136083   0.000705  0.384    5      7.151
00488  43.636380   0.936762   0.066734  19275.756  20647.306     66   16    296.002    -34.031     64.030   0.444587  -0.046807   0.088069   0.266322  -0.084116   0.158269   0.621922  -0.065477   0.123197   0.291611  -0.092104   0.173297   0.066822   0.001049  0.622   16      7.093
00492  18.414427   1.236702   0.121852  36174.157  36823.807     26    6    296.268    -10.941     36.365   0.412611  -0.013953   0.046379   0.224779  -0.022804   0.075798   0.576925  -0.019510   0.064848   0.245783  -0.024935   0.082880   0.121852   0.001110  0.577    6      7.076
00517 339.910988   1.183921   0.141237  41657.061  43481.898     18    7    425.864    -45.196     96.295   0.574846  -0.055867   0.119031   0.619922  -0.180743   0.385095   0.806063  -0.078338   0.166909   0.683673  -0.199330   0.424697   0.140803   0.001651  0.806    7      6.975
00522  51.557676  -0.617894   0.037295  10438.474  11644.539    138   82    244.943    -48.991     67.154   0.381714  -0.069914   0.095835   0.163914  -0.090066   0.123459   0.507067  -0.092873   0.127306   0.176584  -0.097028   0.133002   0.036899   0.000789  0.507   17      6.966
00528  13.566829  -0.668690   0.145486  43024.115  43922.593     54    5    205.370    -15.294     29.567   0.255967  -0.017455   0.033747   0.054970  -0.011246   0.021742   0.607970  -0.041460   0.080156   0.066179  -0.013539   0.026175   0.145696   0.001143  0.608    3      6.948
00552 330.515615   0.124490   0.062967  18531.071  19273.357     32    5    250.060    -36.066     65.543   0.357762  -0.047253   0.085873   0.138276  -0.054790   0.099570   0.499590  -0.065985   0.119916   0.150614  -0.059679   0.108455   0.062667   0.000862  0.500    5      6.895
00566 339.999996  -0.881353   0.053854  15491.475  17211.685     90   53    407.003    -58.947     96.893   0.602631  -0.079927   0.131378   0.655148  -0.260677   0.428481   0.779998  -0.103451   0.170045   0.706998  -0.281307   0.462392   0.053357   0.001281  0.780   17      6.867
00572 326.567518   1.143199   0.090768  26584.396  27283.812     17    6    269.467   -222.913     60.632   0.379276  -0.287318   0.078151   0.169261  -0.384668   0.104630   0.504795  -0.382404   0.104014   0.182467  -0.414680   0.112793   0.090768   0.000184  0.505    5      6.847
