# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
00369 345.522300   0.207251   0.114100   0.000900     7.552   9.19   3.03   0.66   0.22
00370   4.616787  -0.179998   0.201600   0.003400     7.551   3.47   1.86   0.31   0.17
00371 339.569580   0.482090   0.202000   0.007000     7.547   3.30   1.82   0.30   0.17
00373  54.940506  -0.301041   0.135000   0.000000     7.542   7.89   2.81   0.59   0.21
00376 348.323820   0.006604   0.206350   0.003650     7.532   1.87   1.37   0.19   0.14
00379  42.400177   0.075569   0.216350   0.003650     7.529   3.40   1.84   0.31   0.17
00382  28.263372  -0.563879   0.137000   0.008000     7.524   5.65   2.38   0.45   0.19
00386  21.470644   0.527208   0.108250   0.001750     7.513   6.34   2.52   0.50   0.20
00389 328.930150   0.537036   0.200000   0.000000     7.512   3.85   1.96   0.34   0.17
00399  33.175785   0.493654   0.172300   0.002300     7.445   4.80   2.19   0.40   0.18
00401 329.439970   0.610978   0.103300   0.001700     7.425   1.82   1.35   0.19   0.14
00403  10.827446  -0.366032   0.148600   0.003600     7.420   5.01   2.24   0.41   0.18
00405  23.980938   0.656646   0.224800   0.000200     7.406   2.85   1.69   0.27   0.16
00406 330.262540   0.717576   0.208700   0.006300     7.403   1.48   1.21   0.16   0.13
00409   4.190120  -0.473334   0.066000   0.006000     7.392  11.56   3.40   0.79   0.23
00412 352.250370  -1.236735   0.144000   0.001000     7.385   0.58   0.76   0.08   0.10
00417  18.244417   0.999003   0.115000   0.005000     7.358   1.24   1.11   0.14   0.13
00419  20.333320   1.069176   0.223050   0.006950     7.356   2.56   1.60   0.25   0.15
00421  23.737377  -0.679880   0.083000   0.008000     7.350   9.59   3.10   0.68   0.22
00422  15.318542   0.580534   0.185000   0.005000     7.350   1.94   1.39   0.20   0.14
00424   4.803516  -0.863324   0.215800   0.009200     7.340   1.61   1.27   0.17   0.14
00428 326.664430   0.454637   0.222700   0.002300     7.331   0.86   0.93   0.11   0.12
00429   6.757035  -0.169954   0.202000   0.008000     7.321   3.29   1.81   0.30   0.17
00430  31.379940   0.874596   0.228600   0.003600     7.317   3.38   1.84   0.31   0.17
00436 335.723880   0.546172   0.165000   0.005000     7.285   9.62   3.10   0.68   0.22
00437  31.677883   1.275469   0.121900   0.001900     7.283   4.79   2.19   0.40   0.18
00442  25.484090  -1.126748   0.169000   0.001000     7.246   5.37   2.32   0.44   0.19
00446 339.567350  -1.000017   0.135000   0.000000     7.229   6.18   2.49   0.49   0.20
00450  18.527397  -1.203731   0.203500   0.006500     7.223   4.09   2.02   0.35   0.18
00452   4.626821  -0.753330   0.191000   0.004000     7.197   5.58   2.36   0.45   0.19
00454 354.755950   0.714299   0.214850   0.005150     7.193   3.59   1.89   0.32   0.17
00458  20.624410   0.359555   0.193100   0.001900     7.175   3.22   1.79   0.29   0.16
00460  44.590650   0.678615   0.170000   0.000000     7.174   5.60   2.37   0.45   0.19
00467 324.942500   0.458554   0.147500   0.002500     7.151   8.39   2.90   0.62   0.21
00475  19.641254   0.171738   0.200400   0.000400     7.118   1.73   1.32   0.18   0.14
00477  10.106255  -0.213039   0.220150   0.005150     7.107   2.10   1.45   0.21   0.15
00488  43.634888   0.947313   0.073300   0.003300     7.093   7.16   2.68   0.54   0.20
00490   7.180497  -0.083303   0.202000   0.003000     7.083   8.13   2.85   0.60   0.21
00491   0.616062   0.696352   0.182000   0.003000     7.083   5.63   2.37   0.45   0.19
00492  18.396494   1.240287   0.118250   0.003250     7.076   8.67   2.94   0.63   0.21
00498  16.066328  -0.875202   0.065000   0.005000     7.033  10.22   3.20   0.72   0.22
00501  27.070670   1.126959   0.113000   0.007000     7.023   6.82   2.61   0.52   0.20
00502 336.225980  -0.414122   0.140000   0.000000     7.017  10.19   3.19   0.71   0.22
00504  47.837196  -0.569169   0.219500   0.000500     7.006   2.39   1.55   0.23   0.15
00515  23.233246  -0.598218   0.095500   0.004500     6.983   7.20   2.68   0.55   0.20
00517 339.927640   1.196278   0.136000   0.004000     6.975   6.24   2.50   0.49   0.20
00522  51.551550  -0.622493   0.046000   0.004000     6.966  10.74   3.28   0.74   0.23
00523   5.730239   0.589942   0.207500   0.002500     6.962   1.75   1.32   0.18   0.14
00526  26.218582   0.647729   0.192000   0.002000     6.953   3.69   1.92   0.33   0.17
00528  13.564711  -0.641136   0.140200   0.004800     6.948   4.21   2.05   0.36   0.18
00531  26.173664   0.353332   0.075000   0.005000     6.940   2.85   1.69   0.27   0.16
00532 352.493230  -0.590304   0.178800   0.001200     6.937   3.28   1.81   0.30   0.16
00533  37.731216  -1.273108   0.180000   0.005000     6.937   2.24   1.50   0.22   0.15
00536 328.988700   1.147365   0.222000   0.007000     6.931   2.66   1.63   0.25   0.16
00538   7.597835  -1.116159   0.217350   0.002650     6.930   1.69   1.30   0.18   0.14
00539  26.246403  -0.817803   0.186000   0.001000     6.929   3.18   1.78   0.29   0.16
00542  39.505900   0.495355   0.205000   0.000000     6.922   0.00   0.00   0.15   0.10
00549  23.231120   0.959789   0.122000   0.003000     6.899   8.49   2.91   0.62   0.21
00552 330.477080   0.076584   0.065000   0.000000     6.895   7.72   2.78   0.58   0.21
00564 330.306340  -0.169047   0.191000   0.001000     6.870   3.66   1.91   0.33   0.17
00566 340.028350  -0.880253   0.062000   0.002000     6.867  10.65   3.26   0.74   0.23
00570  15.279057  -0.942163   0.175000   0.000000     6.854   4.57   2.14   0.39   0.18
00572 326.525330   1.164550   0.081750   0.001750     6.847   2.02   1.42   0.21   0.14
00574 348.135300   0.155152   0.120000   0.005000     6.835   8.45   2.91   0.62   0.21
00578  25.822643   0.972251   0.192200   0.002200     6.816   1.56   1.25   0.17   0.13
00585  25.535690   0.445414   0.199500   0.000500     6.764   5.16   2.27   0.42   0.19
00587  10.721293  -1.024959   0.206000   0.001000     6.763   3.23   1.80   0.30   0.16
00589  13.832012  -0.355377   0.157500   0.002500     6.757   7.85   2.80   0.59   0.21
00592  42.828087  -0.937108   0.166000   0.001000     6.736   2.58   1.61   0.25   0.15
00597  13.087216  -1.066715   0.140050   0.005050     6.716   4.72   2.17   0.40   0.18
00601  33.048237  -0.448612   0.135000   0.005000     6.710   4.55   2.13   0.38   0.18
00602  16.431560  -0.795366   0.071000   0.001000     6.709  10.48   3.24   0.73   0.23
00603   3.203387   0.733317   0.140500   0.000500     6.707   5.18   2.28   0.42   0.19
00606   5.356819  -0.243318   0.159000   0.001000     6.702   5.53   2.35   0.45   0.19
00608  26.278677  -0.127569   0.192000   0.002000     6.695   2.47   1.57   0.24   0.15
00610   7.504431   1.099527   0.226500   0.006500     6.692   0.87   0.93   0.11   0.12
00612  37.985870  -0.012754   0.179000   0.001000     6.688   5.02   2.24   0.41   0.18
00613   1.883153  -0.803192   0.079000   0.001000     6.687   4.24   2.06   0.36   0.18
00614   1.252856   0.973048   0.099000   0.001000     6.686   8.52   2.92   0.62   0.21
00616  32.806710   0.167917   0.207000   0.003000     6.683   2.89   1.70   0.27   0.16
00619  37.698105  -0.577564   0.169250   0.000750     6.676   1.12   1.06   0.13   0.12
00629 323.230070   1.190172   0.152400   0.002600     6.629   6.48   2.55   0.50   0.20
00633 324.932000   0.954777   0.213000   0.003000     6.623   6.58   2.57   0.51   0.20
00635   4.296801   0.830006   0.196650   0.003350     6.618   2.74   1.66   0.26   0.16
00637  39.599710   0.295230   0.220000   0.005000     6.616   3.40   1.84   0.31   0.17
00641  23.195410   1.258979   0.122500   0.002500     6.603  10.96   3.31   0.76   0.23
00645  55.291744   0.829669   0.215000   0.000000     6.589   2.78   1.67   0.26   0.16
00657  31.367327   0.220272   0.180000   0.005000     6.561   6.39   2.53   0.50   0.20
00660  20.513226  -0.333213   0.216300   0.008700     6.555   1.42   1.19   0.16   0.13
00662 341.105530   0.587981   0.170400   0.004600     6.553   4.43   2.10   0.38   0.18
00663  31.113703   0.301416   0.208200   0.003200     6.553   1.98   1.41   0.20   0.14
00665 326.365200   0.438461   0.180500   0.000500     6.552   3.75   1.94   0.33   0.17
00671   5.706915  -0.646605   0.160000   0.005000     6.528   3.29   1.81   0.30   0.17
00675  19.805359  -1.208559   0.130000   0.000000     6.526   4.62   2.15   0.39   0.18
00676 337.296300   0.415063   0.132000   0.007000     6.525   6.46   2.54   0.50   0.20
00683  21.486671   1.238933   0.194000   0.006000     6.501   3.35   1.83   0.30   0.17
00685  40.347080   0.570209   0.215600   0.005600     6.498   0.00   0.00   0.15   0.10
00687   8.561570  -0.782741   0.105000   0.000000     6.490   2.66   1.63   0.25   0.16
00688  24.322270  -0.429875   0.049000   0.001000     6.485  10.14   3.18   0.71   0.22
00689  50.160072  -1.239298   0.178000   0.007000     6.484   4.66   2.16   0.39   0.18
00693 318.059020  -0.233174   0.059300   0.004300     6.471   0.00   0.00   0.15   0.10
00695   1.276454   0.389884   0.078000   0.002000     6.466   8.44   2.91   0.62   0.21
00700   8.051107  -0.659608   0.215500   0.000500     6.454   1.99   1.41   0.20   0.14
00711 324.368620   0.504759   0.052000   0.002000     6.433   9.10   3.02   0.66   0.22
00716  50.168407  -1.052135   0.205000   0.000000     6.421   7.04   2.65   0.54   0.20
00718 322.702900   0.277533   0.173900   0.001100     6.417   2.90   1.70   0.27   0.16
00719  32.954597  -0.003228   0.196000   0.001000     6.417   2.85   1.69   0.27   0.16
00724  14.250908  -0.823422   0.048000   0.002000     6.400  13.83   3.72   0.90   0.24
00727 345.477570  -0.648034   0.194000   0.006000     6.396   5.09   2.26   0.42   0.19
00735  29.666904  -1.274267   0.183000   0.003000     6.376   6.15   2.48   0.48   0.20
