 118;003.326870;+00.079443; 0.68; 47
 119;003.345297;-00.572809; 0.70; 45
 120;003.381359;+00.004202; 0.45; 52
 121;003.389749;+00.609493; 0.65; 40
 122;003.411520;+01.084795; 0.68; 31
 123;003.455955;+01.019445; 0.45; 38
 124;003.627379;-00.735697; 0.35; 24
 125;003.654860;+01.040364; 0.63; 33
 126;003.707759;-01.156079; 0.20; 48
 127;003.719345;+00.962467; 0.50; 45
 128;003.786268;-00.922116; 0.53; 29
 129;003.786395;+01.064728; 0.70; 47
 130;003.807051;+00.167055; 0.50; 44
 131;003.835469;-01.095559; 0.35; 26
 132;003.848851;-00.283356; 0.35; 22
 133;003.857965;-00.525105; 0.45; 42
 134;003.898125;+00.948099; 0.33; 26
 135;003.914167;-00.784626; 0.20; 57
 136;003.924878;-00.791789; 0.60; 34
 137;003.958941;-00.380965; 0.68; 28
 138;004.135685;+00.916561; 0.45; 44
 139;004.151782;+00.848080; 0.30; 27
 140;004.152338;-00.821693; 0.70; 29
 141;004.165066;+00.000354; 0.15; 54
 142;004.181875;+01.090064; 0.63; 33
 143;004.184721;+00.389080; 0.65; 34
 144;004.220609;-00.343705; 0.58; 23
 145;004.246024;+00.260702; 0.50; 22
 146;004.299388;+01.109163; 0.70; 31
 147;004.308328;+00.847272; 0.60; 34
 148;004.340191;-00.510624; 0.70; 41
 149;004.363469;-00.506169; 0.60; 28
 150;004.399009;+01.008598; 0.48; 36
 151;004.417561;+00.964208; 0.68; 37
 152;004.431611;-00.886935; 0.70; 40
 153;004.446090;-00.864094; 0.40; 35
 154;004.452986;-00.867527; 0.53; 34
 155;004.586694;+00.805664; 0.37; 52
 156;004.591481;-00.849257; 0.63; 37
 157;004.648263;+00.299923; 0.50; 33
 158;004.659177;+00.827418; 0.65; 23
 159;004.660151;-00.389949; 0.65; 22
 160;004.718444;-00.805440; 0.55; 27
 161;004.813163;-01.138489; 0.65; 29
 162;004.836543;-00.854674; 0.42; 40
 163;004.844807;-00.193000; 0.50; 42
 164;004.919881;+00.760630; 0.42; 38
 165;004.930138;+00.752703; 0.65; 21
 166;004.951876;+00.400195; 0.70; 30
 167;004.958345;+00.515164; 0.50; 58
 168;004.967814;+00.080633; 0.63; 22
 169;004.969214;-00.908281; 0.70; 33
 170;005.151787;+00.913003; 0.33; 37
 171;005.152312;-00.587946; 0.70; 50
 172;005.170200;-00.547465; 0.60; 29
 173;005.190855;-00.704352; 0.65; 38
 174;005.234164;-01.106554; 0.60; 22
 175;005.257134;-00.767848; 0.70; 44
 176;005.396128;+00.770138; 0.65; 37
 177;005.412629;+01.082924; 0.68; 31
 178;005.414099;-00.680922; 0.50; 38
 179;005.416381;-01.123189; 0.70; 43
 180;005.438947;+00.733482; 0.50; 36
 181;005.463402;-01.136781; 0.60; 40
 182;005.563065;+00.186709; 0.65; 39
 183;005.586328;-00.575143; 0.68; 39
 184;005.630373;-00.785043; 0.70; 54
 185;005.652630;-01.086178; 0.50; 38
 186;005.727722;+01.079426; 0.55; 27
 187;005.733082;+00.273783; 0.40; 44
 188;005.743604;-00.592048; 0.45; 36
 189;005.753253;+01.016167; 0.28; 74
 190;005.759762;-00.153276; 0.58; 33
 191;005.813754;-00.394144; 0.40; 36
 192;005.901985;-01.125809; 0.45; 30
 193;005.907318;+00.255478; 0.45; 40
 194;005.908954;+00.054409; 0.50; 51
 195;005.915482;-00.269942; 0.60; 36
 196;005.944314;+00.527113; 0.35; 65
 197;005.954941;+00.808586; 0.65; 31
 198;005.957443;-00.730229; 0.65; 30
 199;005.964675;+00.931650; 0.70; 48
 200;005.970350;+00.479616; 0.60; 29
 201;005.986979;-00.469226; 0.30; 44
 202;006.117659;-00.254912; 0.28; 55
 203;006.118080;-00.722015; 0.70; 42
 204;006.133574;-00.236966; 0.65; 35
 205;006.139424;+00.779045; 0.70; 34
 206;006.146114;+01.042325; 0.38; 37
 207;006.147565;+00.344515; 0.28; 46
 208;006.155025;+00.573627; 0.60; 35
 209;006.162743;-00.864734; 0.65; 36
 210;006.163836;+01.069764; 0.60; 30
 211;006.172295;-00.701507; 0.47; 29
 212;006.176425;+00.564995; 0.70; 48
 213;006.180037;+00.524424; 0.45; 60
 214;006.208336;+00.363976; 0.47; 63
 215;006.254107;+00.131748; 0.70; 48
 216;006.262925;+00.337674; 0.65; 40
 217;006.310174;-00.722145; 0.60; 32
 218;006.331574;+01.098937; 0.15; 36
 219;006.337806;-00.604109; 0.68; 45
 220;006.340673;-00.426468; 0.60; 30
 221;006.360972;+00.820590; 0.28; 52
 222;006.390733;-00.318755; 0.18; 45
 223;006.392099;-00.866284; 0.53; 36
 224;006.402864;+00.500326; 0.38; 63
 225;006.420959;-01.117456; 0.50; 29
 226;006.422532;+00.217004; 0.60; 22
 227;006.474129;+00.171227; 0.47; 41
 228;006.508437;+00.109996; 0.33; 50
 229;006.588099;-01.075516; 0.63; 29
 230;006.598487;-01.058517; 0.38; 37
 231;006.599013;+00.835413; 0.55; 35
 232;006.636294;+00.759340; 0.28; 44
 233;006.638146;+00.145933; 0.60; 27
 234;006.725729;-00.241093; 0.28; 53
 235;006.752640;+00.510906; 0.38; 41
 236;006.800856;-00.136816; 0.53; 48
 237;006.877415;-01.053235; 0.63; 47
 238;006.909975;-00.257735; 0.42; 34
 239;006.915405;-00.158087; 0.63; 36
 240;006.926617;+00.134417; 0.55; 32
 241;006.926844;-00.931373; 0.47; 28
 242;006.930017;-00.872983; 0.68; 23
 243;006.930081;+00.088244; 0.22; 44
 244;006.932833;+00.478423; 0.70; 37
 245;006.939946;+00.866654; 0.65; 36
 246;006.958044;+00.686197; 0.55; 28
 247;007.134504;+00.569132; 0.70; 41
 248;007.147595;+00.614693; 0.42; 61
 249;007.155595;-00.005165; 0.70; 39
 250;007.160040;+00.142426; 0.58; 38
 251;007.179251;+01.041642; 0.60; 23
 252;007.237132;-00.123773; 0.60; 44
 253;007.283169;+00.934487; 0.47; 44
 254;007.285211;-00.497238; 0.58; 34
 255;007.293523;+00.958397; 0.70; 49
 256;007.334467;-01.117028; 0.65; 20
 257;007.384300;+00.546221; 0.42; 76
 258;007.387300;-00.253931; 0.42; 50
 259;007.418605;+00.541889; 0.65; 39
 260;007.438797;-00.650996; 0.60; 35
 261;007.468380;+01.065958; 0.40; 55
 262;007.474454;+01.068457; 0.65; 31
 263;007.526524;+00.075587; 0.53; 55
 264;007.554864;-00.470574; 0.60; 41
 265;007.564260;+01.059235; 0.20; 35
 266;007.576085;-01.135381; 0.65; 37
 267;007.576398;-00.463743; 0.35; 34
 268;007.588954;-01.104163; 0.28; 41
 269;007.617845;-00.687047; 0.68; 33
 270;007.629424;-00.665830; 0.25; 53
 271;007.677651;-00.726032; 0.50; 41
 272;007.686347;-00.806039; 0.15; 49
 273;007.698274;+01.103752; 0.42; 47
 274;007.700390;+00.019756; 0.15; 53
 275;007.730938;+00.289844; 0.70; 40
 276;007.731389;+00.394483; 0.60; 35
 277;007.732445;+00.956398; 0.53; 43
 278;007.805700;-00.167336; 0.50; 48
 279;007.808828;+00.378153; 0.50; 41
 280;007.862944;+01.103539; 0.55; 42
 281;007.928257;+00.147483; 0.45; 56
 282;007.929155;+01.038402; 0.28; 25
 283;007.934882;+00.804175; 0.55; 39
 284;007.942958;+00.041603; 0.60; 30
 285;007.947735;-00.638167; 0.70; 26
 286;007.950531;-00.625403; 0.40; 38
 287;007.951056;-00.659251; 0.55; 34
 288;008.137316;+00.565199; 0.47; 38
 289;008.152015;-00.693972; 0.70; 38
 290;008.153957;+00.096615; 0.60; 26
 291;008.171944;-00.252838; 0.47; 29
 292;008.181421;-00.859151; 0.30; 46
 293;008.197213;+01.012227; 0.48; 33
 294;008.212866;-00.002054; 0.45; 57
 295;008.213824;-00.989917; 0.53; 25
 296;008.315137;+00.674645; 0.60; 28
 297;008.351316;-00.462533; 0.48; 41
 298;008.389974;+00.622466; 0.30; 36
 299;008.410060;+00.699455; 0.65; 37
 300;008.410349;-00.280601; 0.68; 43
 301;008.411949;-01.084978; 0.68; 46
 302;008.561800;+00.383310; 0.20; 44
 303;008.571149;+00.876119; 0.50; 44
 304;008.679267;+00.918488; 0.68; 44
 305;008.707166;-01.114130; 0.65; 26
 306;008.725964;-00.740479; 0.58; 24
 307;008.784915;-00.752062; 0.40; 40
 308;008.807436;-00.730645; 0.65; 34
 309;008.827594;-01.171241; 0.25; 28
 310;008.845070;-01.127695; 0.47; 34
 311;008.885682;-00.733979; 0.28; 36
 312;008.894749;+00.349980; 0.70; 39
 313;008.907261;+00.017249; 0.35; 42
 314;008.930215;+00.252515; 0.55; 34
 315;008.935138;-00.715968; 0.70; 36
 316;008.951104;-00.335436; 0.63; 27
 317;008.960082;+00.944081; 0.50; 33
 318;008.960693;+00.257908; 0.28; 53
 319;009.157769;+00.856627; 0.20; 31
 320;009.176835;+00.171778; 0.45; 33
 321;009.177809;+00.494176; 0.28; 40
 322;009.180511;-00.309483; 0.60; 31
 323;009.220632;-00.334724; 0.30; 48
 324;009.230664;+00.974612; 0.70; 43
 325;009.262482;+01.079828; 0.32; 55
 326;009.334490;-01.062513; 0.40; 44
 327;009.410711;+00.090820; 0.58; 37
 328;009.466624;-00.103429; 0.68; 56
 329;009.472900;-00.045552; 0.45; 36
 330;009.485800;-00.262041; 0.30; 37
 331;009.509092;+00.898631; 0.70; 45
 332;009.530301;+00.840296; 0.60; 34
 333;009.572729;+00.313203; 0.65; 52
 334;009.593356;+01.036298; 0.40; 51
 335;009.633615;+00.768478; 0.70; 66
 336;009.755559;-00.389111; 0.50; 41
 337;009.847855;-00.168068; 0.35; 37
 338;009.890175;-00.732157; 0.60; 34
 339;009.934014;+00.279830; 0.60; 33
 340;009.949324;-00.990359; 0.68; 47
 341;010.107969;-00.199686; 0.28; 64
 342;010.131360;-00.993733; 0.68; 37
 343;010.136305;-00.996330; 0.42; 37
 344;010.137191;-00.641841; 0.40; 36
 345;010.137494;+00.801402; 0.38; 38
 346;010.142155;+00.360669; 0.70; 42
 347;010.145864;-00.563757; 0.53; 39
 348;010.167602;+01.036275; 0.65; 28
 349;010.168160;+00.818825; 0.55; 37
 350;010.173839;+00.067575; 0.63; 25
 351;010.217937;+00.104579; 0.35; 34
 352;010.248787;-00.522659; 0.60; 40
 353;010.285397;-00.414445; 0.65; 32
 354;010.294966;-00.069061; 0.68; 45
 355;010.306450;+00.996386; 0.37; 34
 356;010.314854;-01.076245; 0.35; 27
 357;010.328502;-00.340400; 0.70; 37
 358;010.337749;-00.924038; 0.68; 60
 359;010.360205;+00.079641; 0.53; 44
 360;010.388117;+00.345304; 0.63; 31
 361;010.469316;+00.604371; 0.65; 62
 362;010.486590;+00.498372; 0.18; 51
 363;010.515720;+00.952549; 0.25; 32
 364;010.541900;-00.489941; 0.40; 42
 365;010.584204;-00.675030; 0.58; 28
 366;010.595852;-00.213736; 0.50; 48
 367;010.648016;+00.508666; 0.53; 39
 368;010.669887;-00.591674; 0.70; 50
 369;010.671655;+00.137865; 0.65; 38
 370;010.683247;+01.006713; 0.33; 39
 371;010.724925;-00.221532; 0.40; 67
 372;010.730187;-00.778749; 0.45; 38
 373;010.772855;-01.092192; 0.63; 34
 374;010.775214;+00.671912; 0.50; 38
 375;010.821898;+00.043941; 0.68; 45
 376;010.904779;-00.303649; 0.65; 31
 377;010.915826;+00.888467; 0.53; 34
 378;010.933884;+00.294412; 0.70; 40
 379;010.935571;+00.100549; 0.50; 35
 380;010.939876;-00.817830; 0.32; 33
 381;010.942788;+00.573106; 0.38; 37
 382;011.140278;-00.917780; 0.25; 54
 383;011.144048;+00.594609; 0.47; 35
 384;011.157861;+00.176980; 0.68; 29
 385;011.186636;-01.092641; 0.55; 34
 386;011.200608;+01.080921; 0.70; 35
 387;011.201623;+00.815861; 0.53; 33
 388;011.240748;-00.248540; 0.40; 40
 389;011.242260;+00.769021; 0.25; 38
 390;011.281159;-00.714445; 0.50; 39
 391;011.324496;+01.121431; 0.48; 41
 392;011.352107;-00.753343; 0.63; 36
 393;011.403082;+00.309685; 0.50; 51
 394;011.436352;+00.063734; 0.35; 36
 395;011.481200;+00.227716; 0.68; 38
 396;011.497497;-00.829303; 0.65; 34
 397;011.525742;-00.378917; 0.70; 43
 398;011.534041;-00.817067; 0.47; 41
 399;011.605526;-01.070972; 0.65; 37
 400;011.631832;-00.584573; 0.55; 40
 401;011.665607;-00.684177; 0.40; 46
 402;011.725420;+00.363281; 0.53; 32
 403;011.814598;-00.558997; 0.30; 36
 404;011.851824;-00.653982; 0.42; 43
 405;011.894239;-00.326827; 0.40; 38
 406;011.917623;+00.214759; 0.55; 33
 407;011.946799;+00.578286; 0.65; 22
 408;012.143490;+00.023279; 0.70; 36
 409;012.148335;+00.629206; 0.68; 26
 410;012.149531;+00.703470; 0.20; 35
 411;012.160847;+00.462027; 0.45; 24
 412;012.170316;+00.176139; 0.58; 46
 413;012.178315;-00.687181; 0.58; 21
 414;012.178948;-00.148690; 0.65; 29
 415;012.183826;+01.117970; 0.63; 21
 416;012.193083;+00.116483; 0.25; 35
 417;012.198688;+01.047955; 0.40; 36
 418;012.205106;-00.986473; 0.22; 28
 419;012.222473;+00.581285; 0.53; 37
 420;012.292065;-00.147506; 0.60; 29
 421;012.359585;-00.933898; 0.33; 38
 422;012.366258;+00.206059; 0.68; 42
 423;012.378922;+00.331508; 0.35; 39
 424;012.398723;-00.079421; 0.47; 38
 425;012.413171;-00.898870; 0.70; 47
 426;012.428625;+00.758294; 0.63; 41
 427;012.447192;+01.037925; 0.50; 40
 428;012.469440;+00.753717; 0.22; 42
 429;012.492801;+00.719362; 0.50; 40
 430;012.533481;-01.016230; 0.38; 18
 431;012.556245;-00.393077; 0.45; 37
 432;012.610846;-01.083915; 0.47; 36
 433;012.673965;-01.062307; 0.65; 27
 434;012.679439;+00.915983; 0.20; 38
 435;012.735178;-00.312597; 0.40; 30
 436;012.741082;+00.764328; 0.70; 38
 437;012.788196;-00.172075; 0.15; 40
 438;012.828687;+00.716862; 0.60; 33
 439;012.873151;+00.071996; 0.29; 29
 440;012.901136;+00.475089; 0.45; 36
 441;012.919832;-00.170472; 0.63; 29
 442;012.937745;-00.982229; 0.58; 23
 443;012.941960;+00.078880; 0.50; 43
 444;012.950257;+00.158568; 0.65; 41
 445;012.957194;-01.149081; 0.45; 42
 446;012.958821;-00.572043; 0.45; 48
 447;013.133501;+00.277359; 0.63; 32
 448;013.138585;-00.985909; 0.47; 34
 449;013.143313;+00.002576; 0.53; 25
 450;013.164013;+00.851704; 0.70; 26
