 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1245,346.0627,+00.6990,346.0623,+00.7014,  5, 0.3430,  12.7,2
1246,346.0710,-01.1871,346.0765,-01.1926,  6, 0.2403,  28.3,1
1247,346.6030,+00.1330,346.6160,+00.1296,  5, 0.2617,  72.9,0
1248,345.8597,-00.3615,345.8589,-00.3605,  5, 0.3440,  16.2,2
1249,344.2933,-00.1854,344.2839,-00.1910,  7, 0.2494,  72.9,4
1250,345.5390,+01.1555,345.5403,+01.1616,  5, 0.5187,  32.5,2
1251,345.1701,-00.3711,345.1553,-00.3749,  6, 0.2025,  94.1,1
1252,345.3197,+00.9091,345.3175,+00.9195,  7, 0.4050,  43.4,2
1253,345.9524,-00.6812,345.9533,-00.6860, 10, 0.2430,  34.8,2
1254,344.5344,+00.8909,344.5347,+00.8861,  6, 0.2340,  45.8,2
1255,345.3227,+00.7587,345.3255,+00.7523,  5, 0.3205,  41.0,2
1256,345.4843,-00.5463,345.4921,-00.5476,  7, 0.2470,  28.1,1
1257,344.9851,+00.8847,344.9805,+00.8809, 12, 0.3812, 136.7,2
1258,345.4292,+01.1919,345.4230,+01.1963,  5, 0.2910,  30.2,1
1259,345.9591,+00.8418,345.9486,+00.8369,  9, 0.3950,  45.2,2
1260,345.8829,+00.1326,345.8912,+00.1430, 17, 0.4925,  72.6,2
1261,345.7140,+00.4432,345.7171,+00.4414, 11, 0.3954,  62.9,2
1262,345.7324,+00.5773,345.7372,+00.5828,  5, 0.3730,  31.7,2
1263,345.9978,+00.6938,345.9869,+00.6995, 15, 0.3833,  92.6,2
1264,346.0620,-01.0894,346.0642,-01.0830, 11, 0.2439,  74.2,2
1265,345.0312,-00.1041,345.0328,-00.0961,  5, 0.2020,  29.7,1
1266,345.9715,-00.0706,345.9730,-00.0766,  5, 0.4856,  45.6,2
1267,346.2443,-00.9533,346.2404,-00.9537,  6, 0.5050,  34.9,2
1268,344.5266,+01.1868,344.5245,+01.1862,  5, 0.1029,  19.7,2
1269,345.9081,+00.8575,345.8736,+00.8912, 16, 0.4430, 193.3,2
1270,344.6544,-00.5985,344.6499,-00.5995,  5, 0.5471,  16.6,2
1271,345.8108,-00.8452,345.8267,-00.8552, 53, 0.2608, 241.9,3
1272,345.5852,+00.6168,345.5826,+00.6302, 21, 0.2962,  99.5,3
1273,345.4060,+00.6239,345.3961,+00.6203, 14, 0.3915, 134.3,3
1274,345.7523,-00.7287,345.7485,-00.7310,  6, 0.3722,  47.4,2
1275,344.6475,-00.5967,344.6755,-00.6120,  5, 0.3740, 108.0,2
1276,345.5003,+00.9674,345.5096,+00.9758, 11, 0.3293,  85.8,2
1277,345.3920,+00.4888,345.3974,+00.4905,  5, 0.5155,  25.1,2
1278,345.5354,+00.5000,345.5348,+00.5066, 11, 0.4835,  68.1,2
1279,344.1108,-00.6094,344.1015,-00.6004,  5, 0.0860,  29.8,4
1280,344.6216,+01.1479,344.6184,+01.1477, 10, 0.2331,  79.8,2
1281,344.6439,-00.1198,344.6277,-00.1080,  8, 0.2460, 101.1,2
1282,346.5982,+00.1240,346.6064,+00.1548,  9, 0.3620, 118.0,0
1283,344.2799,+00.8259,344.2746,+00.8277,  7, 0.3804,  35.4,0
1284,344.1182,-00.5281,344.1252,-00.5363, 30, 0.1137,  87.2,4
1285,345.7615,+00.2885,345.7541,+00.2795, 10, 0.3741,  76.1,2
1286,344.2060,-00.9042,344.2049,-00.9042,  5, 0.1950,  19.9,4
1287,345.9227,-00.8298,345.9238,-00.8332,  8, 0.5058,  38.3,3
1288,345.7785,-00.0168,345.7830,-00.0320,  5, 0.5190,  58.9,2
1289,344.6430,-00.9870,344.6476,-01.0028,  5, 0.5080,  59.8,2
1290,346.0019,-00.6047,346.0180,-00.6060,  5, 0.5690,  58.8,3
1291,344.2073,+00.1236,344.2029,+00.1264, 10, 0.2236,  63.0,4
1292,345.5461,+00.2334,345.5472,+00.2300,  6, 0.1109,  73.7,2
1293,346.3256,+00.9270,346.3268,+00.9282,  5, 0.1827,  29.3,4
1294,345.3149,-00.8470,345.3158,-00.8487,  5, 0.2085,  10.0,0
1295,346.5092,+00.7720,346.5126,+00.7711,  5, 0.2299,  28.1,4
