#ACT-CL;RAJ2000;DEJ2000;SNR;z;e_z;n_z;M500c;M500cC;M200m
# ;deg;deg; ; ; ; ;10+14Msun;10+14Msun;10+14Msun
#------------;-----------;-----------;------;-------;-------;----;------;------;------
J0013.3-4906;003.3275329;-49.1126072;17.307; 0.4075; 0.0000;spec; 4.855; 6.839; 8.801
J0013.4-2723;003.3739572;-27.3844348; 4.606; 0.4266; 0.0000;spec; 2.638; 3.716; 4.695
J0013.8-5139;003.4583532;-51.6543400; 4.862; 0.7757; 0.0211;phot; 2.055; 2.894; 3.498
J0013.9-0035;003.4973969;-00.5944145; 4.664; 0.7231; 0.0231;phot; 1.713; 2.413; 2.914
J0014.0+0227;003.5011437;+02.4518165; 6.019; 0.3367; 0.0000;spec; 2.011; 2.833; 3.630
J0014.2+0307;003.5625010;+03.1274858; 5.091; 1.0266; 0.0802;phot; 1.417; 1.995; 2.388
J0014.2-3348;003.5503605;-33.8014044; 6.366; 0.4007; 0.0109;phot; 2.389; 3.365; 4.265
J0014.3+1847;003.5770888;+18.7967850; 4.488; 0.5815; 0.0000;spec; 2.050; 2.888; 3.543
J0014.3-3022;003.5839441;-30.3724210;22.805; 0.3080; 0.0000;spec; 9.288;13.081;17.562
J0014.6-3714;003.6750000;-37.2375284; 4.319; 0.8289; 0.0130;phot; 1.579; 2.225; 2.670
J0014.7-2024;003.6932363;-20.4077576; 9.024; 0.3170; 0.0000;spec; 4.122; 5.805; 7.609
J0014.7-3739;003.6953532;-37.6527667; 5.721; 0.6209; 0.0139;phot; 2.079; 2.928; 3.578
J0014.8-4952;003.7012067;-49.8752326;11.319; 0.7520; 0.0000;spec; 3.415; 4.810; 5.885
J0014.9-0057;003.7260493;-00.9506854;17.264; 0.5331; 0.0000;spec; 5.012; 7.059; 8.891
J0014.9-4036;003.7417521;-40.6048266;13.567; 0.5178; 0.0074;phot; 4.113; 5.793; 7.279
J0015.0-1515;003.7612026;-15.2654953; 5.100; 0.3101; 0.0262;phot; 2.861; 4.030; 5.245
J0015.1+0311;003.7778460;+03.1841511; 5.469; 0.6834; 0.0000;spec; 1.914; 2.696; 3.271
J0015.1-5004;003.7760832;-50.0781898; 5.231; 0.9686; 0.0276;phot; 1.839; 2.590; 3.114
J0015.2-0656;003.8082799;-06.9459218; 5.727; 0.6274; 0.0000;spec; 2.389; 3.365; 4.122
J0015.3-3513;003.8250685;-35.2270251; 4.386; 0.4121; 0.0119;phot; 1.699; 2.393; 3.003
J0015.4-1730;003.8670640;-17.5098425; 8.283; 0.4300; 0.0500;phot; 4.991; 7.030; 9.011
J0015.5-5146;003.8949889;-51.7724422; 4.898; 0.4150; 0.0110;phot; 2.125; 2.993; 3.772
J0017.5-3309;004.3904342;-33.1633463; 7.421; 0.9890; 0.0278;phot; 2.697; 3.798; 4.604
J0017.5-3511;004.3888864;-35.1860490; 4.339; 0.1076; 0.0051;phot; 1.508; 2.124; 2.936
J0017.5-3712;004.3874503;-37.2042415; 4.675; 0.7231; 0.0159;phot; 1.833; 2.581; 3.121
J0017.6-0052;004.4124984;-00.8833333; 4.218; 0.2099; 0.0041;phot; 1.374; 1.936; 2.557
J0018.2-0022;004.5600099;-00.3767236;10.121; 0.8010; 0.0000;spec; 3.136; 4.417; 5.382
J0018.3+1618;004.5768991;+16.3050084; 6.617; 0.5462; 0.0000;spec; 3.155; 4.444; 5.528
J0018.4-4518;004.6125438;-45.3083333; 4.195; 0.5547; 0.0096;phot; 1.640; 2.310; 2.830
J0018.5+1626;004.6401885;+16.4354337;23.520; 0.5466; 0.0000;spec; 8.222;11.581;14.736
J0018.5-4708;004.6499115;-47.1417003; 4.489; 0.7412; 0.0187;phot; 1.624; 2.287; 2.755
J0018.6-3720;004.6527716;-37.3473190; 4.521; 0.6612; 0.0155;phot; 1.631; 2.298; 2.784
J0019.0-0000;004.7540887;-00.0121705; 4.835; 0.8626; 0.0000;spec; 1.706; 2.403; 2.886
J0019.0-4051;004.7577309;-40.8620675;12.685; 0.4690; 0.0000;spec; 4.032; 5.678; 7.188
J0019.1-2026;004.7797248;-20.4460340;10.397; 0.2773; 0.0000;spec; 4.714; 6.639; 8.836
J0019.3-5527;004.8258723;-55.4566578; 5.286; 0.9106; 0.0175;phot; 2.250; 3.169; 3.826
J0019.4-3441;004.8696452;-34.6838971; 5.684; 0.9237; 0.0194;phot; 1.999; 2.815; 3.390
J0019.6+0336;004.9105222;+03.6085626;25.233; 0.2662; 0.0000;spec; 7.234;10.188;13.765
J0019.8+0210;004.9653088;+02.1684494; 7.549; 0.8566; 0.0000;spec; 2.365; 3.330; 4.027
J0019.9+1436;004.9918080;+14.6110929; 5.401; 0.3059; 0.0000;spec; 2.573; 3.625; 4.711
J0020.0+0351;005.0124929;+03.8624630; 4.346; 0.2777; 0.0077;phot; 1.493; 2.102; 2.721
J0020.5+0239;005.1482832;+02.6556031; 6.952; 0.6024; 0.0000;spec; 2.337; 3.292; 4.040
J0020.5-4630;005.1476272;-46.5130293; 7.828; 0.8361; 0.0134;phot; 2.510; 3.536; 4.284
J0020.6-2543;005.1749026;-25.7172983;11.003; 0.1410; 0.0000;spec; 5.868; 8.264;11.664
J0021.0-2837;005.2551096;-28.6216194; 5.342; 0.3640; 0.0093;phot; 2.931; 4.128; 5.301
J0021.4-0659;005.3607782;-06.9834306; 5.995; 0.7871; 0.0217;phot; 2.204; 3.104; 3.756
J0021.5-4902;005.3886605;-49.0338066; 7.111; 0.6680; 0.0000;spec; 2.356; 3.319; 4.050
J0022.1-4143;005.5395982;-41.7320775; 5.650; 0.2978; 0.0245;phot; 1.902; 2.679; 3.466
J0022.2-0036;005.5513013;-00.6048367;18.483; 0.8048; 0.0000;spec; 4.839; 6.815; 8.385
J0022.4-4631;005.6141385;-46.5330712; 7.644; 0.8726; 0.0137;phot; 2.432; 3.426; 4.144
J0022.4-4758;005.6083059;-47.9750000; 4.403; 0.9245; 0.0192;phot; 1.483; 2.088; 2.499
J0022.5-4843;005.6273148;-48.7215577; 4.768; 0.8550; 0.0152;phot; 1.714; 2.415; 2.901
J0022.7-4832;005.6888123;-48.5374108; 6.513; 0.6680; 0.0000;spec; 2.274; 3.202; 3.904
J0022.9+1639;005.7347233;+16.6554135; 8.547; 0.8564; 0.0260;phot; 3.550; 4.999; 6.099
J0022.9-2541;005.7322648;-25.6908337; 5.490; 0.8884; 0.0148;phot; 2.976; 4.191; 5.091
J0023.0+1446;005.7613048;+14.7735068; 7.927; 0.3837; 0.0000;spec; 3.619; 5.097; 6.547
J0023.0-3241;005.7727861;-32.6965342; 5.217; 0.6336; 0.0000;spec; 2.278; 3.209; 3.924
J0023.0-3440;005.7625696;-34.6750000; 4.256; 0.6039; 0.0117;phot; 1.713; 2.413; 2.942
J0023.1+0421;005.7825607;+04.3558707; 7.163; 0.9226; 0.0200;phot; 2.693; 3.793; 4.596
J0023.2-3251;005.8154083;-32.8601767; 5.619; 0.6706; 0.0141;phot; 2.368; 3.335; 4.069
J0023.6-3856;005.9208498;-38.9500000; 4.165; 0.5281; 0.0074;phot; 1.629; 2.295; 2.820
J0023.7-4923;005.9266740;-49.3949613; 4.752; 0.7092; 0.0213;phot; 1.881; 2.650; 3.209
J0023.9-0945;005.9957416;-09.7541624; 4.868; 1.0400; 0.0286;phot; 2.376; 3.346; 4.048
J0024.0-0444;006.0248607;-04.7415740; 5.970; 0.3870; 0.0000;spec; 2.275; 3.204; 4.069
J0024.6+0001;006.1551513;+00.0310777; 5.977; 0.3738; 0.0000;spec; 2.029; 2.858; 3.631
J0025.0-5141;006.2600105;-51.6949529; 4.328; 0.8269; 0.0138;phot; 2.066; 2.910; 3.512
J0025.1+0808;006.2957908;+08.1418119; 4.919; 0.1841; 0.0000;spec; 2.675; 3.767; 5.108
J0025.1-2021;006.2905312;-20.3605813; 5.102; 0.8054; 0.0253;phot; 2.680; 3.775; 4.584
J0025.2-2612;006.3207962;-26.2042208; 4.441; 0.4518; 0.0084;phot; 2.577; 3.630; 4.562
J0025.4-1222;006.3681734;-12.3792020; 9.188; 0.5840; 0.0000;spec; 5.227; 7.362; 9.221
J0025.4-5034;006.3664369;-50.5748734; 7.255; 0.3654; 0.0095;phot; 2.697; 3.798; 4.866
J0025.4-5619;006.3700600;-56.3182619; 4.465; 0.8141; 0.0145;phot; 2.189; 3.083; 3.727
J0025.6-3147;006.4209225;-31.7916667; 4.201; 0.4338; 0.0000;spec; 1.911; 2.692; 3.372
J0025.8-0419;006.4738753;-04.3249926; 7.285; 0.4923; 0.0000;spec; 2.714; 3.822; 4.776
J0025.8-3519;006.4538098;-35.3233246; 4.880; 0.5372; 0.0064;phot; 1.808; 2.546; 3.132
J0025.9-4133;006.4947866;-41.5530152; 9.071; 0.5390; 0.0000;spec; 2.970; 4.183; 5.201
J0026.2+0120;006.5655838;+01.3359635;13.271; 0.6394; 0.0000;spec; 3.810; 5.367; 6.635
J0026.2-5854;006.5683291;-58.9116425; 4.165; 0.5891; 0.0084;phot; 1.972; 2.777; 3.401
J0026.5+1709;006.6482992;+17.1615313; 4.529; 0.3958; 0.0000;spec; 2.238; 3.152; 3.993
J0026.6+0442;006.6619263;+04.7059738; 5.295; 0.2625; 0.0111;phot; 2.355; 3.317; 4.358
J0026.6+0547;006.6595945;+05.7926599; 4.826; 0.4590; 0.0000;spec; 2.556; 3.600; 4.517
J0026.6-1526;006.6748090;-15.4458287; 7.055; 0.5784; 0.0284;phot; 4.275; 6.021; 7.511
J0026.7-1856;006.7000000;-18.9458193; 4.143; 0.2853; 0.0231;phot; 2.382; 3.356; 4.380
J0026.8-0603;006.7126766;-06.0666667; 4.486; 0.9258; 0.0184;phot; 1.756; 2.473; 2.970
J0026.8-5700;006.7249577;-57.0125207; 4.574; 0.7876; 0.0184;phot; 1.999; 2.815; 3.400
J0026.9-0901;006.7426857;-09.0273748; 7.702; 0.3381; 0.0000;spec; 3.320; 4.676; 6.062
J0026.9-4845;006.7307746;-48.7513646; 5.573; 0.0901; 0.0061;phot; 1.893; 2.666; 3.738
J0027.0+1252;006.7652069;+12.8681399; 5.434; 0.5993; 0.0000;spec; 2.828; 3.983; 4.911
J0027.1-3146;006.7777525;-31.7722113; 4.105; 0.4647; 0.0100;phot; 1.639; 2.309; 2.866
J0027.2-0456;006.8028815;-04.9370331;10.134; 0.6974; 0.0176;phot; 3.378; 4.758; 5.838
J0027.3-4757;006.8292531;-47.9625402; 4.461; 0.7330; 0.0211;phot; 1.601; 2.255; 2.718
J0027.3-5014;006.8334813;-50.2458738; 6.626; 0.1448; 0.0000;spec; 2.128; 2.997; 4.108
J0027.4-3806;006.8584400;-38.1001648; 4.884; 0.9950; 0.0360;phot; 1.755; 2.472; 2.969
J0027.4-4650;006.8579716;-46.8341624; 7.114; 0.3427; 0.0079;phot; 2.340; 3.296; 4.232
J0027.6+0432;006.9208553;+04.5375241; 4.222; 0.4260; 0.0151;phot; 1.957; 2.756; 3.459
J0027.6-4742;006.9147616;-47.7111697;11.009; 0.7740; 0.0000;spec; 3.230; 4.549; 5.553
J0028.0-2649;007.0154684;-26.8200939; 8.441; 0.7456; 0.0147;phot; 4.173; 5.877; 7.225
J0028.0-3744;007.0166757;-37.7416667; 4.693; 0.4768; 0.0079;phot; 1.763; 2.484; 3.082
J0028.1-1005;007.0371428;-10.0911749; 7.284; 0.9890; 0.0278;phot; 3.818; 5.378; 6.568
J0028.2-4826;007.0623371;-48.4390895; 4.902; 0.3869; 0.0104;phot; 1.700; 2.395; 3.021
J0028.3+0316;007.0843678;+03.2822131; 5.222; 0.3621; 0.0000;spec; 1.889; 2.661; 3.384
J0028.8-3934;007.2249206;-39.5686856; 4.332; 0.1917; 0.0052;phot; 1.433; 2.019; 2.688
J0028.9+0750;007.2277720;+07.8343376; 5.021; 0.2662; 0.0000;spec; 2.784; 3.921; 5.167
J0028.9-4449;007.2375530;-44.8333333; 4.111; 0.9380; 0.0271;phot; 1.512; 2.130; 2.550
J0029.0-0411;007.2704097;-04.1927877; 5.472; 0.7000; 0.0000;spec; 2.111; 2.973; 3.610
J0029.0-3459;007.2716530;-34.9899089; 4.268; 0.1110; 0.0000;spec; 1.076; 1.516; 2.074
J0029.1-3708;007.2954381;-37.1368088; 7.361; 0.4730; 0.0000;spec; 2.498; 3.519; 4.403
J0029.4-0214;007.3611233;-02.2389850; 4.602; 0.5509; 0.0000;spec; 1.897; 2.672; 3.285
J0029.7-3948;007.4305799;-39.8138510; 4.225; 0.8360; 0.0257;phot; 1.544; 2.175; 2.608
J0029.8-0343;007.4666667;-03.7210233; 4.778; 0.6243; 0.0000;spec; 1.750; 2.465; 3.000
J0029.8-0618;007.4584817;-06.3024067; 5.138; 0.6317; 0.0121;phot; 2.086; 2.938; 3.587
J0029.8-1219;007.4624083;-12.3250575; 4.702; 0.1524; 0.0230;phot; 2.519; 3.548; 4.867
J0030.0-2004;007.5111320;-20.0806007; 4.164; 0.2081; 0.0242;phot; 1.739; 2.450; 3.256
J0030.0-2549;007.5040716;-25.8292961; 4.584; 0.6872; 0.0168;phot; 2.538; 3.575; 4.363
J0030.2+1014;007.5527694;+10.2360723; 4.175; 0.3927; 0.0152;phot; 2.155; 3.035; 3.844
J0030.3+0900;007.5958151;+09.0125508; 4.349; 0.6999; 0.0000;spec; 2.540; 3.578; 4.362
J0030.3-3424;007.5916466;-34.4125056; 4.803; 0.2486; 0.0049;phot; 1.624; 2.287; 2.992
J0030.7+0102;007.6991928;+01.0403561; 5.538; 0.6200; 0.0000;spec; 2.067; 2.912; 3.558
J0031.1+1424;007.7958352;+14.4083333; 4.687; 0.4310; 0.0134;phot; 2.373; 3.342; 4.208
J0031.2+1907;007.8121249;+19.1261395; 8.484; 0.5304; 0.0000;spec; 3.606; 5.079; 6.351
J0031.3+0633;007.8305483;+06.5526795; 4.348; 0.6520; 0.0000;spec; 2.615; 3.683; 4.510
J0031.4-0144;007.8719125;-01.7371807; 7.494; 0.5479; 0.0000;spec; 2.708; 3.814; 4.727
J0031.5-3456;007.8805104;-34.9473130; 4.678; 0.9384; 0.0205;phot; 1.756; 2.473; 2.970
J0032.2+0100;008.0609576;+01.0055665; 4.500; 0.3870; 0.0000;spec; 1.711; 2.410; 3.040
J0032.2+1808;008.0505410;+18.1361229;20.524; 0.3725; 0.0000;spec; 7.037; 9.912;12.980
J0032.5-0914;008.1375747;-09.2499904; 4.715; 0.1302; 0.0226;phot; 1.985; 2.796; 3.850
J0032.5-1932;008.1388333;-19.5405699; 6.066; 0.3505; 0.0243;phot; 3.055; 4.303; 5.549
J0032.5-2242;008.1291201;-22.7081205; 4.955; 0.3304; 0.0081;phot; 2.738; 3.856; 4.986
J0032.7+1212;008.1935482;+12.2136318; 7.159; 0.2534; 0.0000;spec; 3.181; 4.481; 5.950
J0032.9-0138;008.2416633;-01.6433516; 6.673; 0.4948; 0.0000;spec; 2.502; 3.524; 4.393
J0033.1+1057;008.2799407;+10.9649691; 5.099; 0.7268; 0.0000;spec; 2.682; 3.778; 4.604
J0033.3+1026;008.3421023;+10.4488962; 7.580; 0.4319; 0.0000;spec; 3.906; 5.501; 7.007
J0033.6+0242;008.4100091;+02.7143303; 9.355; 0.4710; 0.0000;spec; 3.142; 4.426; 5.568
J0033.8-0751;008.4700629;-07.8652711;10.809; 0.3056; 0.0000;spec; 3.869; 5.449; 7.154
J0033.8-5119;008.4624998;-51.3333333; 4.255; 0.3612; 0.0104;phot; 1.756; 2.473; 3.141
J0034.2+0212;008.5728724;+02.2038961; 6.548; 0.4158; 0.0000;spec; 2.397; 3.376; 4.266
J0034.4-0559;008.6064698;-05.9999299; 5.398; 0.8777; 0.0143;phot; 2.075; 2.922; 3.523
J0034.4-4551;008.6221158;-45.8592511; 5.257; 0.5198; 0.0213;phot; 1.933; 2.722; 3.362
J0034.5+0225;008.6250486;+02.4228480;20.025; 0.3880; 0.0000;spec; 5.767; 8.123;10.545
J0034.5-4318;008.6307991;-43.3160540; 5.597; 0.3963; 0.0000;spec; 1.925; 2.711; 3.422
J0034.7-3831;008.6943548;-38.5305341; 4.316; 0.4378; 0.0108;phot; 1.629; 2.295; 2.862
J0034.8-3411;008.7023338;-34.1985404; 5.532; 0.3971; 0.0103;phot; 2.020; 2.845; 3.594
J0034.9+0233;008.7384661;+02.5656648;11.208; 0.3850; 0.0000;spec; 3.604; 5.076; 6.517
J0034.9-3351;008.7455277;-33.8615193; 5.154; 0.7679; 0.0137;phot; 1.973; 2.779; 3.357
J0035.1-1058;008.7782950;-10.9732610; 4.547; 0.4551; 0.0000;spec; 2.736; 3.854; 4.847
J0035.2-4213;008.8136203;-42.2283637; 6.037; 0.5402; 0.0216;phot; 2.200; 3.098; 3.826
J0035.2-5456;008.8226477;-54.9334179; 4.594; 0.3362; 0.0187;phot; 2.134; 3.006; 3.858
J0035.4-2015;008.8600803;-20.2625493;17.309; 0.3520; 0.0000;spec; 7.086; 9.980;13.140
J0035.5+0739;008.8873780;+07.6565227; 4.890; 0.2894; 0.0000;spec; 2.566; 3.615; 4.721
J0035.8+0020;008.9750000;+00.3458991; 4.620; 0.2540; 0.0000;spec; 1.712; 2.411; 3.153
J0035.8+0649;008.9716871;+06.8317586; 4.276; 0.3668; 0.0000;spec; 2.201; 3.100; 3.952
J0036.3-3503;009.0999361;-35.0541031; 4.584; 0.4032; 0.0103;phot; 1.699; 2.393; 3.008
