#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J0337.9+0029;054.487500;+00.484278;  278.7;  0.32;  2.30
J0338.1-2256;054.545000;-22.939944; 2675.4;  0.17;  1.50
J0354.2-0010;058.570833;-00.168500;  320.5;  0.21;  2.80
J0357.4+0118;059.360000;+01.301778; 1104.3;  0.13;  3.20
J0357.5+0059;059.382083;+00.994278;   94.3;  0.58;
J0357.7+0101;059.435833;+01.026917;  796.7;  0.36;  5.70
J0406.7-7116;061.693750;-71.274583; 2039.0;  0.23;  3.90
J0416.7-5525;064.190833;-55.419472;  158.2;  0.37;  2.20
J0417.0+0113;064.270000;+01.225250;  559.3;  0.32;  3.60
J0419.7+1439;064.935833;+14.651250;  230.5;  0.19;
J0433.6+0523;068.411667;+05.386111;  147.5;  0.12;  0.70
J0447.9-2037;071.999583;-20.622611;  137.3;  0.41;  1.00
J0455.1-5323;073.776250;-53.395500;  862.5;  0.41;  3.60
J0515.7-0010;078.937917;-00.176694;  250.0;  0.47;  3.90
J0515.8+7939;078.950833;+79.666389;  346.8;  0.61;  7.10
J0516.1+0109;079.041667;+01.165000;  144.3;  0.32;  4.70
J0521.1-2531;080.295417;-25.517639;  130.7;  0.58;  4.00
J0522.2-3625;080.564167;-36.420472; 1936.8;  0.47;  5.50
J0522.7-4817;080.697083;-48.292861;  159.6;  0.21;  1.40
J0544.2-2555;086.059167;-25.929861;  639.7;  0.26;  4.10
J0639.7+8218;099.941250;+82.313139; 1038.1;  0.41;  4.90
J0640.1+8229;100.045417;+82.483944;   87.2;  0.83;
J0720.3+7131;110.091667;+71.532194;  304.4;  0.27;  2.40
J0720.9+7109;110.226250;+71.150139;  915.0;  0.23;  2.90
J0735.4+4353;113.850417;+43.886528;  148.0;  0.13;
J0736.0+4339;114.024167;+43.652833; 1869.1;  0.43;  4.50
J0742.5+6517;115.636667;+65.284583;  142.1;  0.17;  3.20
J0746.0+3052;116.515000;+30.879028;  457.1;  0.22;  2.40
J0747.4+3101;116.855000;+31.029583;  149.1;  0.41;  1.00
J0750.8+5003;117.721250;+50.054639;  255.6;  0.42;  3.90
J0754.4+2209;118.615833;+22.164139;  284.2;  0.40;  4.70
J0757.4+3920;119.353333;+39.346583;  200.9;  0.10;  1.40
J0758.6+3519;119.662917;+35.327694;  569.9;  0.17;  1.60
J0806.2+1523;121.552500;+15.385833;   68.6;  0.41;  2.00
J0806.5+1532;121.640417;+15.535722;  191.5;  0.28;  1.40
J0807.2+1527;121.803333;+15.450417; 1137.5;  0.11;  1.70
J0819.3+7054;124.827500;+70.915972; 1324.2;  0.23;  3.00
J0821.5+0102;125.396250;+01.042222;  507.6;  0.13;  1.70
J0830.4+5241;127.607917;+52.691222; 3673.5;  0.99;  6.30
J0831.2+5234;127.812500;+52.581639;  356.2;  0.52;
J0831.7+5250;127.949167;+52.843500;  669.5;  0.45;  5.00
J0834.9+5534;128.728333;+55.572472; 4277.8;  0.24;  3.90
J0837.4+5532;129.351667;+55.547167;  135.6;  0.28;  5.20
J0838.9+2538;129.732917;+25.634417;   76.7;  0.91;
J0839.0+7049;129.750417;+70.833278;   99.1;  0.44;
J0840.7+3830;130.184167;+38.513972;  409.5;  0.15;  1.10
J0840.8+3838;130.218750;+38.645972;  358.7;  0.12;  1.60
J0841.4+0046;130.351667;+00.777139;  577.9;  0.41;  3.10
J0847.0+3451;131.755833;+34.853556;  470.8;  0.43;  2.60
J0847.1+3448;131.796667;+34.811778; 1494.1;  0.56;  5.60
J0848.5+4453;132.145000;+44.894972;   96.0;  1.27;  1.70
J0848.8+4456;132.200417;+44.935083;  884.4;  0.57;  4.20
J0857.6+0901;134.422083;+09.019167;   58.6;  0.15;  3.00
J0901.0+6006;135.256250;+60.101722; 1379.4;  0.29;  5.90
J0916.1+3027;139.037500;+30.455028;  294.7;  0.59;  5.70
J0918.3+2114;139.591250;+21.246111;  288.8;  1.01;  8.30
J0918.6+5150;139.653333;+51.844778;  112.2;  0.44;  2.90
J0920.3+3706;140.078750;+37.104917;28579.2;  0.21;  2.60
J0920.8+3028;140.218333;+30.468000; 1332.4;  0.29;  3.50
J0920.9+3034;140.246667;+30.571833;  145.1;  0.26;  0.40
J0921.1+3027;140.295833;+30.466167;  620.1;  0.43;  4.40
J0921.2+3701;140.310417;+37.025361;  320.9;  0.29;  0.60
J0923.4+2256;140.855833;+22.946028;  712.5;  0.19;  8.50
J0925.6+3627;141.416667;+36.453083; 3432.7;  0.11;  3.00
J0925.7+3054;141.435000;+30.908861;  115.9;  0.41;  1.30
J0925.7+3058;141.440417;+30.982472; 1014.6;  0.52;  5.80
J0926.6+3103;141.672500;+31.052444;  112.1;  0.67;
J0926.8+3101;141.711250;+31.024250;  420.7;  0.49;  3.50
J0926.9+3612;141.745833;+36.205306;  179.5;  0.49;
J0927.0+3100;141.763333;+31.010889;  135.2;  0.48;  3.70
J0932.0+4733;143.023333;+47.553917;  281.7;  0.22;  2.50
J0932.9+5515;143.246667;+55.262167;  287.6;  0.10;  0.60
J0933.8+5526;143.459167;+55.438917;  187.3;  0.49;  2.10
J0934.8+5510;143.705000;+55.173194;   73.1;  0.55;
J0937.1+6116;144.288750;+61.271167;  497.5;  0.21;  1.50
J0937.3+6114;144.342500;+61.237972;   83.1;  0.20;  3.90
J0939.7+3600;144.939583;+36.016056;  138.8;  0.36;
J0940.5+3559;145.144167;+35.997222;  289.1;  0.31;  1.40
J0943.1+4809;145.796667;+48.165583;  180.8;  0.28;  2.00
J0943.5+1639;145.884583;+16.665250;  858.4;  0.25;  3.40
J0943.9+1641;145.992500;+16.689083;  147.5;  0.25;  1.50
J0945.5+0946;146.377083;+09.775306;  167.6;  0.22;  1.80
J0951.0+3917;147.773750;+39.295250;   76.7;  0.47;
J0953.7+6947;148.431667;+69.793056; 2290.5;  0.21;  5.70
J0956.0+4107;149.014583;+41.118639;  296.9;  0.59;  4.30
J0956.1-0021;149.045417;-00.366056;  299.1;  0.54;  3.20
J0957.6+0234;149.404583;+02.573639; 3108.2;  0.37;  4.70
J0959.0+0247;149.755417;+02.794583;  295.5;  0.49;
J0959.0+0238;149.767500;+02.637306;   91.3;  0.08;
J0959.4+0146;149.852917;+01.771194;  732.0;  0.12;  1.30
J0959.5+0526;149.882500;+05.438000;  261.1;  0.25;  4.10
J0959.6+0231;149.920000;+02.519806; 1005.3;  0.72;  7.30
J0959.7+0255;149.945417;+02.922750;   51.2;  0.13;
J0959.8+0140;149.964167;+01.681139;  629.9;  0.37;  2.50
J0959.9+2516;149.990000;+25.274722; 1657.6;  0.10;  1.40
J1000.2+0212;150.051250;+02.212972;   83.2;  0.24;
J1000.3+0211;150.095000;+02.198944;   52.6;  0.93;  2.10
J1000.4+0241;150.121667;+02.693722;  543.2;  0.35;  6.80
J1000.7+0146;150.180000;+01.768806;  176.7;  0.35;
J1000.7+0139;150.197500;+01.657472; 2770.9;  0.22;  3.30
